generation,N_shifts,logPrior,logLik,eventRate,acceptRate
21200000,3,13.8692,-44.3272,2.1014,0.29765
21300000,5,14.6953,-33.7803,3.59747,0.296021
21400000,5,18.4938,-44.5173,3.03707,0.2893
21500000,7,27.2319,-40.9861,2.38242,0.292452
21600000,2,10.1385,-38.4595,0.744011,0.292603
21700000,5,16.079,-41.134,4.91405,0.29571
21800000,2,11.3896,-54.8574,0.727727,0.293792
21900000,2,11.927,-44.5751,0.436035,0.29473
22000000,3,13.1867,-42.299,2.36573,0.29671
22100000,2,8.45647,-43.8789,0.84037,0.295925
22200000,3,9.70573,-69.2473,2.89281,0.29591
22300000,5,17.0417,-43.4214,2.05847,0.292471
22400000,5,17.4273,-47.2506,2.24456,0.292544
22500000,4,14.2859,-55.5481,4.98978,0.292558
22600000,3,13.8228,-48.6027,1.30456,0.293533
22700000,2,9.90877,-42.7883,0.977831,0.29685
22800000,1,6.81879,-73.2271,0.475735,0.302403
22900000,2,9.44007,-48.8949,1.95182,0.29661
23000000,2,9.08697,-49.5535,2.28661,0.29648
23100000,7,22.4682,-41.9257,6.91072,0.296138
23200000,8,24.6017,-47.079,6.73415,0.2917
23300000,4,12.2486,-46.6888,1.63489,0.295368
23400000,7,18.5236,-61.0709,4.73483,0.302988
23500000,3,13.0555,-50.2735,1.4362,0.296081
23600000,6,21.3077,-55.7604,3.85576,0.299901
23700000,7,23.2327,-42.6955,3.81603,0.295963
23800000,3,5.11954,-45.2881,5.77594,0.29428
23900000,2,10.5568,-42.4248,0.970763,0.29696
24000000,2,9.32651,-45.5108,0.538583,0.300528
24100000,5,19.4093,-34.9796,4.5899,0.295886
24200000,7,24.0963,-46.2387,4.10749,0.296676
24300000,5,14.2505,-50.9637,5.24396,0.291928
24400000,3,13.0479,-41.2695,0.449108,0.303577
24500000,9,35.3045,-43.0299,3.21877,0.302587
24600000,6,21.8458,-49.9944,3.00056,0.288093
24700000,2,8.67911,-56.0715,2.69969,0.29861
24800000,2,10.6324,-55.2581,1.27638,0.296779
24900000,6,20.3711,-42.6395,5.1594,0.287257
25000000,5,12.3998,-47.7784,3.82672,0.299406
25100000,5,14.3595,-44.8149,2.74151,0.296008
25200000,6,20.665,-42.8243,1.90733,0.295535
25300000,5,15.0961,-51.282,2.12912,0.294177
25400000,5,16.5241,-57.322,5.1413,0.295464
25500000,3,11.4441,-35.5419,3.25906,0.296197
25600000,2,10.6899,-65.2648,0.935928,0.296619
25700000,5,19.2059,-46.69,2.78969,0.299972
25800000,1,8.35821,-78.9423,0.614761,0.296973
25900000,2,12.0291,-51.24,0.933375,0.298074
26000000,2,9.5676,-40.9775,2.20233,0.298025
26100000,2,11.1673,-51.5755,0.778772,0.296903
26200000,3,11.7319,-37.9133,3.61948,0.29357
26300000,2,9.01509,-47.0472,1.35232,0.298039
26400000,2,12.1122,-43.7467,0.21704,0.298397
26500000,5,20.5572,-44.1713,2.67852,0.297533
26600000,3,9.38635,-51.1857,1.77481,0.297256
26700000,3,14.2103,-44.2019,1.77588,0.290885
26800000,3,11.8213,-55.6766,2.19536,0.293045
26900000,3,6.8478,-63.6254,4.32895,0.297479
27000000,8,27.9056,-29.3876,3.97988,0.296873
27100000,7,26.8285,-67.086,6.59068,0.28181
27200000,3,10.6026,-53.2966,2.30553,0.297195
27300000,2,11.2687,-77.2562,1.36943,0.28951
27400000,3,11.7988,-42.5907,2.65724,0.298
27500000,4,16.7984,-53.1077,2.20709,0.291091
27600000,6,22.341,-47.5917,2.71956,0.298417
27700000,4,12.1574,-34.2404,4.24709,0.30474
27800000,5,18.946,-40.8498,4.27515,0.297177
27900000,3,13.5689,-42.1581,2.3851,0.291081
28000000,3,12.2811,-37.9071,2.06477,0.296755
28100000,5,20.9342,-47.514,1.69016,0.293575
28200000,3,9.38944,-55.6567,2.86884,0.298709
28300000,6,23.8791,-31.3669,2.58685,0.296936
28400000,2,10.7903,-51.8444,1.2275,0.295231
28500000,5,16.2677,-59.0439,3.14916,0.304097
28600000,4,11.2283,-47.366,2.3041,0.30675
28700000,5,19.2866,-51.5978,3.72782,0.303275
28800000,5,15.3736,-41.6134,4.79724,0.299342
28900000,3,9.01984,-42.5778,4.46936,0.295
29000000,3,11.9414,-50.1963,3.2329,0.29319
29100000,2,10.2005,-36.2531,1.93265,0.297329
29200000,4,13.9075,-43.9359,2.61563,0.300577
29300000,3,12.7367,-50.3162,0.899598,0.298822
29400000,3,9.74056,-63.3551,0.865961,0.293958
29500000,4,16.5904,-52.7322,1.7254,0.30194
29600000,3,11.4471,-48.3952,3.62333,0.297297
29700000,3,14.014,-44.0154,1.32364,0.301347
29800000,6,25.4622,-43.1656,1.32914,0.297112
29900000,3,9.92072,-51.9889,2.59838,0.29053
30000000,8,22.1241,-45.7566,5.97165,0.298234
30100000,4,17.7725,-56.9587,1.48192,0.29615
30200000,2,9.06787,-41.0867,1.19212,0.296354
30300000,7,23.2779,-37.2515,4.65169,0.296032
30400000,4,16.3781,-55.0874,1.5599,0.295329
30500000,2,9.74659,-59.3359,1.44498,0.297625
30600000,2,9.14737,-65.6014,1.52457,0.295316
30700000,4,16.8732,-50.2334,1.5041,0.293598
30800000,6,13.125,-51.0936,7.54793,0.298709
30900000,3,8.64115,-55.1291,2.6381,0.300088
31000000,4,16.4553,-60.9807,2.59704,0.298509
31100000,3,9.88825,-39.6399,2.1223,0.306025
31200000,5,17.1723,-54.6477,3.94694,0.305167
31300000,2,6.12768,-42.9266,1.90421,0.30067
31400000,2,10.7101,-41.8165,0.962812,0.297793
31500000,2,4.92064,-57.2684,2.61116,0.305627
31600000,2,9.25131,-37.9581,0.139868,0.30988
31700000,8,19.6136,-54.82,6.52065,0.298868
31800000,4,8.69032,-56.4431,2.16413,0.299509
31900000,5,18.3485,-40.8629,2.56853,0.302312
32000000,4,18.7245,-40.7637,0.553384,0.296756
32100000,6,23.8759,-43.7819,2.38743,0.293474
32200000,6,20.9697,-41.7005,3.22678,0.295604
32300000,4,15.8509,-40.011,2.08403,0.295069
